gene_family,presence_count,category,annotation
COG0740,9.0,common,Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins
COG1219,9.0,common,ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP
COG0847,9.0,common,"Trims short 3' overhangs of a variety of RNA species, leaving a one or two nucleotide 3' overhang. Responsible for the end-turnover of tRNA specifically removes the terminal AMP residue from uncharged tRNA (tRNA-C-C-A). Also appears to be involved in tRNA biosynthesis"
COG2918,9.0,common,Glutamate-cysteine ligase
COG0861,9.0,common,membrane protein terc
COG2252,9.0,common,permease
COG0796,9.0,common,Asp/Glu/Hydantoin racemase
COG0778,9.0,common,coenzyme F420-1:gamma-L-glutamate ligase activity
COG4232,9.0,common,Thiol disulfide Interchange Protein
COG0766,9.0,common,Cell wall formation. Adds enolpyruvyl to UDP-N- acetylglucosamine
COG1053,9.0,common,Belongs to the FAD-dependent oxidoreductase 2 family. FRD SDH subfamily
29KGK,9.0,common,-
COG0664,9.0,common,COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
COG0465,9.0,common,"Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins"
COG0340,9.0,common,"Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a biotin-operon repressor. In the presence of ATP, BirA activates biotin to form the BirA-biotinyl-5'-adenylate (BirA-bio- 5'-AMP or holoBirA) complex. HoloBirA can either transfer the biotinyl moiety to the biotin carboxyl carrier protein (BCCP) subunit of acetyl-CoA carboxylase, or bind to the biotin operator site and inhibit transcription of the operon"
COG1448,9.0,common,aminotransferase
COG0855,9.0,common,Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP)
COG1651,9.0,common,Thiol disulfide interchange protein
COG0682,9.0,common,Transfers the N-acyl diglyceride group on what will become the N-terminal cysteine of membrane lipoproteins
COG0207,9.0,common,"Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis"
COG0328,9.0,common,Endonuclease that specifically degrades the RNA of RNA- DNA hybrids
COG3842,9.0,common,Part of the ABC transporter complex PotABCD involved in spermidine putrescine import. Responsible for energy coupling to the transport system
COG1176,9.0,common,"ABC-type spermidine putrescine transport system, permease component I"
COG1177,9.0,common,Spermidine putrescine ABC transporter permease
COG3155,9.0,common,"Displays glyoxalase activity, catalyzing the conversion of glyoxal to glycolate"
COG0860,9.0,common,N-acetylmuramoyl-L-alanine amidase
COG1108,9.0,common,ABC 3 transport family
COG1121,9.0,common,(ABC) transporter
COG0639,9.0,common,"Hydrolyzes diadenosine 5',5'''-P1,P4-tetraphosphate to yield ADP"
COG0218,9.0,common,Necessary for normal cell division and for the maintenance of normal septation
COG1737,9.0,common,"Helix-turn-helix domain, rpiR family"
COG0101,9.0,common,"Formation of pseudouridine at positions 38, 39 and 40 in the anticodon stem and loop of transfer RNAs"
COG0180,9.0,common,"Catalyzes a two-step reaction, first charging a tryptophan molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA"
COG1354,9.0,common,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves
COG0084,9.0,common,"Hydrolase, TatD family"
COG0282,9.0,common,Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction
COG0219,9.0,common,Methylates the ribose at the nucleotide 34 wobble position in the two leucyl isoacceptors tRNA(Leu)(CmAA) and tRNA(Leu)(cmnm5UmAA). Catalyzes the methyl transfer from S- adenosyl-L-methionine to the 2'-OH of the wobble nucleotide
COG0504,9.0,common,Catalyzes the ATP-dependent amination of UTP to CTP with either L-glutamine or ammonia as the source of nitrogen. Regulates intracellular CTP levels through interactions with the four ribonucleotide triphosphates
COG1364,9.0,common,ArgJ family
COG0484,9.0,common,"ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins"
COG0128,9.0,common,Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate
COG2165,9.0,common,"Type II secretion system (T2SS), protein G"
COG0780,9.0,common,Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1)
COG0823,9.0,common,Involved in the TonB-independent uptake of proteins
COG0634,9.0,common,"Catalyzes the salvage synthesis of inosine-5'-monophosphate (IMP) and guanosine-5'-monophosphate (GMP) from the purine bases hypoxanthine and guanine, respectively"
COG0373,9.0,common,Catalyzes the NADPH-dependent reduction of glutamyl- tRNA(Glu) to glutamate 1-semialdehyde (GSA)
2ATQ6,9.0,common,Outer membrane lipoprotein Slp family
COG0506,9.0,common,Oxidizes proline to glutamate for use as a carbon and nitrogen source
COG5000,9.0,common,"HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain"
COG0303,9.0,common,molybdopterin biosynthesis
COG0357,9.0,common,Specifically methylates the N7 position of guanine in position 527 of 16S rRNA
COG1674,9.0,common,Cell division protein ftsk
COG0341,9.0,common,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA
COG1862,9.0,common,Preprotein translocase subunit YajC
COG0021,9.0,common,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate"
COG2989,9.0,common,"L,D-transpeptidase catalytic domain"
COG1897,9.0,common,"Transfers an acetyl group from acetyl-CoA to L- homoserine, forming acetyl-L-homoserine"
COG0420,9.0,common,SbcCD cleaves DNA hairpin structures. These structures can inhibit DNA replication and are intermediates in certain DNA recombination reactions. The complex acts as a 3'- 5' double strand exonuclease that can open hairpins. It also has a 5' single-strand endonuclease activity
COG0013,9.0,common,Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain
COG2355,9.0,common,Membrane dipeptidase (Peptidase family M19)
COG0733,9.0,common,Sodium:neurotransmitter symporter family
COG1115,9.0,common,Sodium alanine symporter
COG0452,9.0,common,"Catalyzes two steps in the biosynthesis of coenzyme A. In the first step cysteine is conjugated to 4'-phosphopantothenate to form 4-phosphopantothenoylcysteine, in the latter compound is decarboxylated to form 4'-phosphopantotheine"
COG3108,9.0,common,Bacterial protein of unknown function (DUF882)
COG0305,9.0,common,"it exhibits DNA-dependent ATPase activity and contains distinct active sites for ATP binding, DNA binding, and interaction with DnaC protein, primase, and other prepriming proteins"
COG2096,9.0,common,adenosyltransferase
COG0382,9.0,common,"Catalyzes the prenylation of para-hydroxybenzoate (PHB) with an all-trans polyprenyl group. Mediates the second step in the final reaction sequence of ubiquinone-8 (UQ-8) biosynthesis, which is the condensation of the polyisoprenoid side chain with PHB, generating the first membrane-bound Q intermediate 3- octaprenyl-4-hydroxybenzoate"
COG0316,9.0,common,Iron-sulfur cluster insertion protein ErpA
COG0086,9.0,common,DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
COG0517,8.0,common,Arabinose 5-phosphate isomerase
COG0497,8.0,common,May be involved in recombinational repair of damaged DNA
COG0569,8.0,common,TrkA-N domain
COG1853,8.0,common,Flavin reductase like domain
COG2981,8.0,common,Etoposide-induced protein 2.4 (EI24)
COG0534,8.0,common,Multidrug efflux pump
COG2391,8.0,common,Sulphur transport
COG0503,8.0,common,"Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis"
COG0279,8.0,common,SIS domain
COG2823,8.0,common,BON domain
COG0306,8.0,common,phosphate transporter
COG0268,8.0,common,Binds directly to 16S ribosomal RNA
COG2812,8.0,common,"DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity"
COG0718,8.0,common,"Binds to DNA and alters its conformation. May be involved in regulation of gene expression, nucleoid organization and DNA protection"
COG0353,8.0,common,May play a role in DNA repair. It seems to be involved in an RecBC-independent recombinational process of DNA repair. It may act with RecF and RecO
COG1858,8.0,common,cytochrome c peroxidase
COG0053,8.0,common,Dimerisation domain of Zinc Transporter
COG3115,8.0,common,cell septum assembly
COG0205,8.0,common,"Catalyzes the phosphorylation of D-fructose 6-phosphate, the first committing step of glycolysis. Uses inorganic phosphate (PPi) as phosphoryl donor instead of ATP like common ATP-dependent phosphofructokinases (ATP-PFKs), which renders the reaction reversible, and can thus function both in glycolysis and gluconeogenesis. Consistently, PPi-PFK can replace the enzymes of both the forward (ATP-PFK) and reverse (fructose-bisphosphatase (FBPase)) reactions"
COG3637,8.0,common,Outer membrane protein beta-barrel domain
COG1126,8.0,common,"AAA domain, putative AbiEii toxin, Type IV TA system"
COG3468,8.0,common,cell adhesion
COG1154,8.0,common,Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)
COG0142,8.0,common,Belongs to the FPP GGPP synthase family
COG1722,8.0,common,exodeoxyribonuclease VII activity
COG3264,8.0,common,Small-conductance mechanosensitive channel
COG2864,8.0,common,Prokaryotic cytochrome b561
COG3058,8.0,common,Necessary for formate dehydrogenase activity
COG2141,8.0,common,"Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases"
COG1521,8.0,common,"Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis"
COG1663,8.0,common,"Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1- P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA)"
COG0557,8.0,common,3'-5' exoribonuclease that releases 5'-nucleoside monophosphates and is involved in maturation of structured RNAs
COG0352,8.0,common,Thiamine monophosphate synthase
COG0476,8.0,common,"ATP-dependent adenylate transferase, transfers adenyl moiety to the MoeD subunit of molybdopterin synthase"
COG2303,8.0,common,PFAM GMC oxidoreductase
COG0666,8.0,common,Ankyrin repeat
COG1032,8.0,common,UPF0313 protein
COG0117,8.0,common,"Converts 2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5'-phosphate into 5-amino-6-(ribosylamino)-2,4(1h,3h)- pyrimidinedione 5'-phosphate"
2DI8K,8.0,common,Glycine zipper
COG0688,8.0,common,Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer)
COG1212,8.0,common,Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria
COG2969,8.0,common,stringent starvation protein b
COG1026,8.0,common,Peptidase M16C associated
COG0481,8.0,common,"Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner"
COG1104,8.0,common,Aminotransferase class-V
COG2433,8.0,common,-
COG3247,8.0,common,response to pH
COG0640,8.0,common,transcriptional regulators
COG0072,8.0,common,Belongs to the phenylalanyl-tRNA synthetase beta subunit family. Type 1 subfamily
COG0292,8.0,common,Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
COG0291,8.0,common,Belongs to the bacterial ribosomal protein bL35 family
COG0441,8.0,common,Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr)
COG0042,8.0,common,"Catalyzes the synthesis of 5,6-dihydrouridine (D), a modified base found in the D-loop of most tRNAs, via the reduction of the C5-C6 double bond in target uridines. Specifically modifies U20 and U20a in tRNAs"
COG1823,8.0,common,Sodium:dicarboxylate symporter family
COG1349,8.0,common,DeoR C terminal sensor domain
COG1047,8.0,common,Peptidyl-prolyl cis-trans
COG0120,8.0,common,Catalyzes the reversible conversion of ribose-5- phosphate to ribulose 5-phosphate
COG3117,8.0,common,lipopolysaccharide transmembrane transporter activity
COG2374,8.0,common,Endonuclease/Exonuclease/phosphatase family
COG1186,8.0,common,Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA
COG3118,8.0,common,Belongs to the thioredoxin family
COG3560,8.0,common,oxidoreductase related to nitroreductase
COG0195,8.0,common,Participates in both transcription termination and antitermination
COG2986,8.0,common,Histidine ammonia-lyase
COG2850,8.0,common,transcriptional regulator
COG0052,8.0,common,Belongs to the universal ribosomal protein uS2 family
COG0264,8.0,common,Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
COG1314,8.0,common,Preprotein translocase subunit SecG
COG0149,8.0,common,Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P)
COG1077,8.0,common,Rod shape-determining protein
COG1792,8.0,common,Involved in formation and maintenance of cell shape
COG0749,8.0,common,"In addition to polymerase activity, this DNA polymerase exhibits 5'-3' exonuclease activity"
COG1426,8.0,common,Helix-turn-helix domain
COG0679,8.0,common,"Transporter, auxin efflux carrier (AEC) family protein"
COG0326,8.0,common,Hsp90 protein
COG3063,8.0,common,Type IV pilus biogenesis stability protein PilW
COG4796,8.0,common,"Type II secretory pathway, component HofQ"
COG0691,8.0,common,"Required for rescue of stalled ribosomes mediated by trans-translation. Binds to transfer-messenger RNA (tmRNA), required for stable association of tmRNA with ribosomes. tmRNA and SmpB together mimic tRNA shape, replacing the anticodon stem-loop with SmpB. tmRNA is encoded by the ssrA gene"
COG1052,8.0,common,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
COG3094,8.0,common,"Invasion gene expression up-regulator, SirB"
COG2915,8.0,common,High frequency lysogenization protein HflD homolog
COG1509,8.0,common,"lysine 2,3-aminomutase"
COG0324,8.0,common,"Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)"
2ANY4,8.0,common,NMT1-like family
COG0271,8.0,common,Belongs to the BolA IbaG family
COG2917,8.0,common,Intracellular septation protein A
COG0331,8.0,common,malonyl CoA-acyl carrier protein transacylase
COG0332,8.0,common,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Catalyzes the first condensation reaction which initiates fatty acid synthesis and may therefore play a role in governing the total rate of fatty acid production. Possesses both acetoacetyl-ACP synthase and acetyl transacylase activities. Its substrate specificity determines the biosynthesis of branched- chain and or straight-chain of fatty acids
COG0725,8.0,common,ABC-type molybdate transport system periplasmic component
COG2609,8.0,common,"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)"
COG1135,8.0,common,Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system
COG3278,8.0,common,Belongs to the heme-copper respiratory oxidase family
COG2204,8.0,common,Sigma-54 interaction domain
COG0806,8.0,common,"An accessory protein needed during the final step in the assembly of 30S ribosomal subunit, possibly for assembly of the head region. Probably interacts with S19. Essential for efficient processing of 16S rRNA. May be needed both before and after RbfA during the maturation of 16S rRNA. It has affinity for free ribosomal 30S subunits but not for 70S ribosomes"
COG0228,8.0,common,Belongs to the bacterial ribosomal protein bS16 family
COG0019,8.0,common,Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine
COG2804,8.0,common,"Type II secretory pathway, ATPase PulE Tfp pilus assembly pathway, ATPase PilB"
COG3064,8.0,common,Membrane
COG0824,8.0,common,Acyl-CoA thioesterase
COG0468,8.0,common,"Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage"
COG4067,8.0,common,Putative ATP-dependant zinc protease
COG1114,8.0,common,Component of the transport system for branched-chain amino acids
COG2980,8.0,common,"Together with LptD, is involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane. Required for the proper assembly of LptD. Binds LPS and may serve as the LPS recognition site at the outer membrane"
COG1469,8.0,common,"Converts GTP to 7,8-dihydroneopterin triphosphate"
COG3950,8.0,common,AAA ATPase domain
2ATYF,8.0,common,Invasion associated locus B (IalB) protein
COG0194,8.0,common,"Essential for recycling GMP and indirectly, cGMP"
COG1758,8.0,common,Promotes RNA polymerase assembly. Latches the N- and C- terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits
COG2896,8.0,common,"Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate"
COG4973,8.0,common,Belongs to the 'phage' integrase family. XerC subfamily
COG3245,8.0,common,cytochrome
COG0576,8.0,common,"Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ"
COG0335,8.0,common,This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site
COG0501,8.0,common,Belongs to the peptidase M48B family
COG0229,8.0,common,This stereospecific enzymes reduces the R isomer of methionine sulfoxide while MsrA reduces the S form
COG0025,8.0,common,Na H antiporter
COG0803,8.0,common,Zinc-uptake complex component A periplasmic
COG1385,8.0,common,Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit
COG2853,8.0,common,lipoprotein
COG1131,8.0,common,ABC transporter
COG0285,8.0,common,Belongs to the folylpolyglutamate synthase family
COG0249,8.0,common,DNA mismatch repair protein
COG0208,8.0,common,"Ribonucleotide reductase, small chain"
COG1167,8.0,common,Transcriptional regulator
COG1454,8.0,common,alcohol dehydrogenase
COG3090,8.0,common,"Tripartite ATP-independent periplasmic transporters, DctQ component"
COG1638,8.0,common,"Bacterial extracellular solute-binding protein, family 7"
COG0527,8.0,common,homoserine dehydrogenase
COG0729,8.0,common,membrane
COG0196,8.0,common,Belongs to the ribF family
COG4808,8.0,common,Protein of unknown function (DUF1307)
COG3221,8.0,common,"ABC transporter, phosphonate, periplasmic substrate-binding protein"
COG2836,8.0,common,Cytochrome C biogenesis protein transmembrane region
COG0838,8.0,common,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"
COG0377,8.0,common,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"
COG0852,8.0,common,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"
COG0649,8.0,common,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient"
COG1905,8.0,common,NADH dehydrogenase
COG1894,8.0,common,"NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain"
COG1741,8.0,common,Belongs to the pirin family
COG0006,8.0,common,Xaa-Pro aminopeptidase
COG3111,8.0,common,PFAM conserved
COG2264,8.0,common,Methylates ribosomal protein L11
COG1444,8.0,common,GNAT acetyltransferase 2
COG2837,8.0,common,Dyp-type peroxidase family
COG0400,8.0,common,Carboxylesterase
COG0795,8.0,common,overlaps another CDS with the same product name
COG0343,8.0,common,"Catalyzes the base-exchange of a guanine (G) residue with the queuine precursor 7-aminomethyl-7-deazaguanine (PreQ1) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming PreQ1, allowing a nucleophilic attack on the C1' of the ribose to form the product. After dissociation, two additional enzymatic reactions on the tRNA convert PreQ1 to queuine (Q), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis-dihydroxy-2- cyclopenten-1-yl)amino)methyl)-7-deazaguanosine)"
COG0168,8.0,common,Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA
COG3698,8.0,common,Phosphodiester glycosidase
COG0483,8.0,common,Belongs to the inositol monophosphatase superfamily
COG0313,8.0,common,Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA
COG1495,8.0,common,Required for disulfide bond formation in some periplasmic proteins. Acts by oxidizing the DsbA protein
COG0443,8.0,common,Heat shock 70 kDa protein
COG0325,8.0,common,"Alanine racemase, N-terminal domain"
COG2145,8.0,common,Hydroxyethylthiazole kinase family
COG0349,8.0,common,Exonuclease involved in the 3' processing of various precursor tRNAs. Initiates hydrolysis at the 3'-terminus of an RNA molecule and releases 5'-mononucleotides
COG4147,8.0,common,Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
COG0204,8.0,common,Acyltransferase
COG3323,8.0,common,protein conserved in bacteria
COG0702,8.0,common,NAD(P)H-binding
COG3133,8.0,common,Outer Membrane Lipoprotein
COG1793,8.0,common,DNA ligase
COG2103,8.0,common,SIS domain
COG4235,8.0,common,cytochrome complex assembly
COG3088,8.0,common,subunit of a heme lyase
COG1138,8.0,common,Cytochrome C biogenesis
COG3288,8.0,common,NADP transhydrogenase
COG4125,8.0,common,Chlorhexidine efflux transporter
COG1226,8.0,common,Potassium channel
COG0762,8.0,common,YGGT family
COG0775,8.0,common,Phosphorylase superfamily
COG0041,8.0,common,Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR)
COG2838,8.0,common,"NADP-specific, catalyzes the formation of 2-oxoglutarate from isocitrate or oxalosuccinate"
COG1519,8.0,common,transferase
COG4105,8.0,common,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
COG1496,8.0,common,Belongs to the multicopper oxidase YfiH RL5 family
COG0659,8.0,common,Sulfate transporter
COG0024,8.0,common,Methionine aminopeptidase
COG3027,8.0,common,"Activator of cell division through the inhibition of FtsZ GTPase activity, therefore promoting FtsZ assembly into bundles of protofilaments necessary for the formation of the division Z ring. It is recruited early at mid-cell but it is not essential for cell division"
COG3004,8.0,common,Na( ) H( ) antiporter that extrudes sodium in exchange for external protons
COG1738,8.0,common,"Involved in the import of queuosine (Q) precursors, required for Q precursor salvage"
COG0822,8.0,common,NifU-like N terminal domain
COG2151,8.0,common,FeS assembly SUF system protein SufT
COG0286,8.0,common,site-specific DNA-methyltransferase (adenine-specific) activity
COG1538,8.0,common,Outer membrane efflux protein
COG0791,8.0,common,COG0791 Cell wall-associated hydrolases (invasion-associated proteins)
COG0519,8.0,common,GMP synthase C terminal domain
COG0563,8.0,common,Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism
2DQRI,8.0,common,-
COG0750,8.0,common,zinc metalloprotease
COG2960,8.0,common,long-chain fatty acid transporting porin activity
COG1802,8.0,common,Transcriptional regulator
COG0388,8.0,common,Acyltransferase
COG0719,8.0,common,"abc transporter, permease"
COG0148,8.0,common,Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis
COG0372,8.0,common,Belongs to the citrate synthase family
COG0167,8.0,common,Catalyzes the conversion of dihydroorotate to orotate with quinone as electron acceptor
COG0254,8.0,common,Ribosomal protein L31
COG1158,8.0,common,"Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA-dependent ATPase activity, and release of the mRNA from the DNA template"
COG1145,8.0,common,ferredoxin
COG1309,8.0,common,"PFAM Transcriptional regulator, TetR-like, DNA-binding, bacterial archaeal"
COG0151,8.0,common,Belongs to the GARS family
COG1044,8.0,common,"Catalyzes the N-acylation of UDP-3-O-acylglucosamine using 3-hydroxyacyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell"
COG2825,8.0,common,Outer membrane protein (OmpH-like)
COG0193,8.0,common,The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis
COG1960,8.0,common,acyl-CoA dehydrogenase
COG1198,8.0,common,"Involved in the restart of stalled replication forks. Recognizes and binds the arrested nascent DNA chain at stalled replication forks. It can open the DNA duplex, via its helicase activity, and promote assembly of the primosome and loading of the major replicative helicase DnaB onto DNA"
COG0623,8.0,common,Catalyzes a key regulatory step in fatty acid biosynthesis
COG4123,8.0,common,Putative SAM-dependent methyltransferase
COG4654,8.0,common,cytochrome
COG1207,8.0,common,"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain"
COG1197,8.0,common,"Couples transcription and DNA repair by recognizing RNA polymerase (RNAP) stalled at DNA lesions. Mediates ATP-dependent release of RNAP and its truncated transcript from the DNA, and recruitment of nucleotide excision repair machinery to the damaged site"
COG1335,8.0,common,Isochorismatase family
COG2891,8.0,common,Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins
COG0859,8.0,common,lipopolysaccharide heptosyltransferase I
COG0214,8.0,common,"Catalyzes the formation of pyridoxal 5'-phosphate from ribose 5-phosphate (RBP), glyceraldehyde 3-phosphate (G3P) and ammonia. The ammonia is provided by the PdxT subunit. Can also use ribulose 5-phosphate and dihydroxyacetone phosphate as substrates, resulting from enzyme-catalyzed isomerization of RBP and G3P, respectively"
COG0129,8.0,common,Belongs to the IlvD Edd family
